model_name,races,residual_mean,residual_sd,margin_mae,margin_rmse,brier,binary_log_loss,margin_negative_log_likelihood,expected_calibration_error,maximum_calibration_error,coverage_50,coverage_error_50,absolute_coverage_error_50,coverage_80,coverage_error_80,absolute_coverage_error_80,coverage_95,coverage_error_95,absolute_coverage_error_95,mean_absolute_coverage_error,cycle,applied_bias,applied_sd
closed_form_residual,33,-1.8439324621678226,9.022161414667622,5.596921227997086,9.073744273218647,0.06152262517036308,0.21432940964085828,3.6774082180108048,0.1180263802877213,0.48135632468360634,0.8484848484848485,0.3484848484848485,0.3484848484848485,0.9090909090909091,0.10909090909090902,0.10909090909090902,0.9696969696969697,0.01969696969696977,0.01969696969696977,0.1590909090909091,2020,-1.3420825656574,11.645566720155305
closed_form_residual,34,-0.589126170058919,9.147254237349427,6.308296073192076,9.030967882845854,0.05582507599005178,0.18666431293915053,3.67503705332295,0.1184235272614024,0.3555960479515552,0.7352941176470589,0.23529411764705888,0.23529411764705888,0.9117647058823529,0.11176470588235288,0.11176470588235288,0.9705882352941176,0.020588235294117685,0.020588235294117685,0.12254901960784315,2022,-1.516524794159686,11.659691885366854
closed_form_residual,34,-1.2945880611008909,6.9834649689253325,5.063595126683431,7.000740335877446,0.051004941982441376,0.18071940143952514,3.5683677528863527,0.11495762869522885,0.4680932178932682,0.7647058823529411,0.2647058823529411,0.2647058823529411,0.9705882352941176,0.1705882352941176,0.1705882352941176,1.0,0.050000000000000044,0.050000000000000044,0.16176470588235292,2024,-1.4140217843501688,11.897158147736798
current_baseline,32,1.4201586774533532,13.48544276802854,10.233851287834128,13.348819455708954,0.11497839835209894,0.3606281042592077,4.251688435116164,0.15253861315411318,0.6132744274572351,0.40625,-0.09375,0.09375,0.6875,-0.11250000000000004,0.11250000000000004,0.8125,-0.13749999999999996,0.13749999999999996,0.11458333333333333,2012,0.0,8.75
current_baseline,35,-1.438725249126256,11.870085745771432,8.001189970943946,11.787416259715778,0.0663694974837255,0.21972215665385153,3.9953762798097023,0.10593394260349365,0.41963436179296887,0.5428571428571428,0.042857142857142816,0.042857142857142816,0.7714285714285715,-0.02857142857142858,0.02857142857142858,0.9714285714285714,0.021428571428571463,0.021428571428571463,0.030952380952380953,2014,0.0,8.75
current_baseline,33,-6.923650110851862,14.227530911601027,10.997182044777825,15.627717281489511,0.09190150425679511,0.2685179633551639,4.682934584138544,0.13154179906137492,0.8032688835717967,0.3333333333333333,-0.16666666666666669,0.16666666666666669,0.7272727272727273,-0.07272727272727275,0.07272727272727275,0.8484848484848485,-0.10151515151515145,0.10151515151515145,0.11363636363636363,2016,0.0,8.75
current_baseline,33,3.8580918645652837,10.605674739204703,7.580532302515579,11.13358497782759,0.10256494377119219,0.608607195465913,3.897505470854249,0.10954526992346485,0.5888600648848799,0.5151515151515151,0.015151515151515138,0.015151515151515138,0.8181818181818182,0.018181818181818188,0.018181818181818188,0.9090909090909091,-0.040909090909090895,0.040909090909090895,0.02474747474747474,2018,0.0,8.75
current_baseline,33,-3.1860150278252224,9.022161414667622,5.877790052014099,9.438402405505926,0.06028151186314805,0.19780463559358175,3.6697616374485476,0.10129666848808572,0.5363174890323289,0.6666666666666666,0.16666666666666663,0.16666666666666663,0.9090909090909091,0.10909090909090902,0.10909090909090902,0.9090909090909091,-0.040909090909090895,0.040909090909090895,0.10555555555555551,2020,0.0,8.75
current_baseline,34,-2.105650964218605,9.147254237349426,6.365000535565087,9.254462558131605,0.047004106813425345,0.15373718216050392,3.647307023712056,0.090474688478063,0.4667370614437836,0.5882352941176471,0.08823529411764708,0.08823529411764708,0.8235294117647058,0.0235294117647058,0.0235294117647058,0.9117647058823529,-0.038235294117647034,0.038235294117647034,0.04999999999999997,2022,0.0,8.75
current_baseline,34,-2.70860984545106,6.9834649689253325,5.4946378597720695,7.393982303015805,0.04019045639428224,0.1392811803412236,3.4450271677607165,0.07829045806728625,0.38505074865138145,0.6176470588235294,0.11764705882352944,0.11764705882352944,0.8529411764705882,0.05294117647058816,0.05294117647058816,0.9705882352941176,0.020588235294117685,0.020588235294117685,0.06372549019607843,2024,0.0,8.75
sd_only,32,1.4201586774533532,13.48544276802854,10.233851287834128,13.348819455708954,0.1114035955053125,0.3414244967716071,4.0579357431353875,0.14921531076790218,0.5514880186259215,0.4375,-0.0625,0.0625,0.71875,-0.08125000000000004,0.08125000000000004,0.90625,-0.043749999999999956,0.043749999999999956,0.0625,2012,0.0,10.892700211584057
sd_only,35,-1.438725249126256,11.870085745771432,8.001189970943946,11.787416259715778,0.06798465580454591,0.22761325816519798,3.8882691325969176,0.10638847711095278,0.43729228177852875,0.5714285714285714,0.0714285714285714,0.0714285714285714,0.8571428571428571,0.05714285714285705,0.05714285714285705,0.9714285714285714,0.021428571428571463,0.021428571428571463,0.04999999999999997,2014,0.0,11.24415499903917
sd_only,33,-6.923650110851862,14.227530911601027,10.997182044777825,15.627717281489511,0.09017873890499446,0.2729433805529548,4.372215372423697,0.13875763898471158,0.6324002139393162,0.48484848484848486,-0.015151515151515138,0.015151515151515138,0.7878787878787878,-0.0121212121212122,0.0121212121212122,0.8484848484848485,-0.10151515151515145,0.10151515151515145,0.04292929292929293,2016,0.0,10.549771971171332
sd_only,33,3.8580918645652837,10.605674739204703,7.580532302515579,11.13358497782759,0.10535270076010166,0.4941447811186923,3.8289381762918313,0.15449256138214612,0.569659175839363,0.6666666666666666,0.16666666666666663,0.16666666666666663,0.8484848484848485,0.048484848484848464,0.048484848484848464,0.9393939393939394,-0.010606060606060508,0.010606060606060508,0.0752525252525252,2018,0.0,11.19826863279228
sd_only,33,-3.1860150278252224,9.022161414667622,5.877790052014099,9.438402405505926,0.06482499381147759,0.22254228639489126,3.702296300325981,0.1082041907491885,0.37681232624763383,0.8181818181818182,0.31818181818181823,0.31818181818181823,0.9090909090909091,0.10909090909090902,0.10909090909090902,0.9393939393939394,-0.010606060606060508,0.010606060606060508,0.14595959595959593,2020,0.0,11.645566720155305
sd_only,34,-2.105650964218605,9.147254237349426,6.365000535565087,9.254462558131605,0.05265245864394875,0.181440445389476,3.6900673732535805,0.08978927398045858,0.4749966067080533,0.7647058823529411,0.2647058823529411,0.2647058823529411,0.9117647058823529,0.11176470588235288,0.11176470588235288,0.9705882352941176,0.020588235294117685,0.020588235294117685,0.13235294117647056,2022,0.0,11.659691885366854
sd_only,34,-2.70860984545106,6.9834649689253325,5.4946378597720695,7.393982303015805,0.04765237550020991,0.17391707974184975,3.5883639171700734,0.1086463079607805,0.3441200009966662,0.7058823529411765,0.20588235294117652,0.20588235294117652,0.9705882352941176,0.1705882352941176,0.1705882352941176,1.0,0.050000000000000044,0.050000000000000044,0.14215686274509806,2024,0.0,11.897158147736798
